name,country,primary_fuel,commissioning_year
Bistrica 1,ALB,Hydro,1965.0
Fierza,ALB,Hydro,1978.0
Koman,ALB,Hydro,1985.0
Lanabregas,ALB,Hydro,1951.0
Shkopet,ALB,Hydro,1963.0
Ulez,ALB,Hydro,1958.0
Vau i Dijes,ALB,Hydro,1971.0
Annaba,DZA,Gas,2010.0
Arbaa,DZA,Gas,2010.0
Boufarik 1,DZA,Gas,1980.0
Boufarik 2,DZA,Gas,2016.0
Boutelilis,DZA,Gas,2016.0
Hadjret Ennous,DZA,Gas,2009.0
Hassi Messaoud Mobile,DZA,Gas,2013.0
Hassi Messoud,DZA,Gas,2015.0
Hassi Messoud Nord 2,DZA,Gas,1988.0
Ighil Emda,DZA,Hydro,1952.0
Koudiet Eddraouch,DZA,Gas,2013.0
Labreg,DZA,Gas,2015.0
Ravin Blanc,DZA,Gas,1974.0
Relizane,DZA,Gas,2010.0
SKB IPP,DZA,Gas,2007.0
SKS IPP SNC Lavalin,DZA,Gas,2006.0
SPP1 Thermal,DZA,Gas,2011.0
Skikda,DZA,Gas,1975.0
Terga,DZA,Gas,2013.0
Tilghemt 1,DZA,Gas,1980.0
Tilghemt 2,DZA,Gas,2016.0
McMurdo Station Generator,ATA,Oil,1981.0
AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG,Other,1997.4
AGUA DEL CAJON (GENERADOR DEL MEM),ARG,Gas,1993.5
AGUA DEL TORO,ARG,Hydro,1982.0
ALICURA,ARG,Hydro,1987.0
ALTO VALLE,ARG,Gas,1969.0
ALVAREZ CONDARCO,ARG,Hydro,2003.0
ARROYITO,ARG,Hydro,1977.0
ATUCHA I,ARG,Nuclear,1974.0
ATUCHA II,ARG,Nuclear,2014.0
BENJAMIN REOLIN,ARG,Hydro,1966.0
CABRA CORRAL,ARG,Hydro,1978.0
CACHEUTA (NUEVA),ARG,Hydro,2002.0
CASA DE PIEDRA,ARG,Hydro,1996.0
CASSAFFOUSTH,ARG,Hydro,1953.0
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG,Coal,1990.0
CENTRAL LOMA DE LA LATA SA,ARG,Gas,1999.5
CENTRAL T.GENELBA,ARG,Gas,1997.7
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG,Gas,2013.0
CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG,Gas,1999.4
CENTRAL TERMICA GÜEMES SA,ARG,Coal,1993.3
CENTRAL TERMICA PIQUIRENDA SA,ARG,Oil,2010.0
CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG,Gas,2008.7
CENTRAL TERMOELECTRICA TIMBUES,ARG,Gas,2008.7
CH LOS CARACOLES,ARG,Hydro,2009.0
CIPOLLETTI,ARG,Hydro,1954.0
COMODORO RIVADAVIA,ARG,Gas,1990.0
COSTANERA,ARG,Coal,1983.9
CRUZ DE PIEDRA,ARG,Gas,1969.0
CRUZ DEL EJE,ARG,Oil,1943.0
CT INDEPENDENCIA,ARG,Gas,1995.0
CT PLUSPETROL NORTE,ARG,Gas,2002.5
CT ROCA,ARG,Gas,1995.0
