,Neighborhood.Name,2013_population,2014_population,2015_population,2016_population,2017_population,10-14_population,15-19_population,20-24_population,25-29_population,30-34_population,35-39_population,40-44_population,45-49_population,5-9_population,50-54_population,55-59_population,60-64_population,65-69_population,70-74_population,75-79_population,80-84_population,85-89_population,90-94_population,>=95_population,female_population,male_population,total_transports,Day_bus_count,Night_bus_count,%night_buses,avg_dist_metro_stations,avg_dist_day_bus_stops,avg_dist_night_bus_stops,avg_dist_other_transport,avg_ppl_unemployed_with_benefits,avg_ppl_unemployed_seeking_job,male_unemployed,female_unemployed,avg_male_unemployed,avg_female_unemployed,2017_unemployed,%unemployed_population,total_accidents,bad_air_quality_count,ppl_to_from_Sant_Martí,ppl_to_from_Sants_Montjuïc,ppl_to_from_Eixample,ppl_to_from_Abroad,ppl_to_from_Catalonia,Latitude,Longitude,km_to_center_area,km_to_banking_area,km_to_residential_area,1star_hotels,2star_hotels,3star_hotels,Clusters,Clusters Category
0,baró de viver,2415,2481,2482,2507,2539,14.36,12.82,14.74,12.96,18.52,21.58,19.92,19.24,14.0,17.26,16.26,12.06,9.8,8.88,7.76,7.92,4.72,1.98,0.6,13.3,12.583333333333334,8.0,6,2,25.0,0.0,0.3274814922516419,0.421253529970685,0.0,78.15,18.36111111111111,60.5,50.958333333333336,60.5,50.958333333333336,1887,7.432059866089011,31,17,0,0,0,0,0,41.446044125,2.199503125,7.00245586940581,9.759552949359888,9.821642428905323,0,0,0,3,Cluster 4
1,can baró,8969,8859,8819,8965,8994,35.22,35.04,40.76,56.48,64.0,72.5,67.56,67.74,36.72,64.86,58.74,51.2,53.66,44.72,38.02,35.78,22.82,8.98,10.7,49.25,43.67916666666667,22.0,20,2,9.090909090909092,0.0,0.3891909944420641,0.22969593276754977,0.0,236.74166666666667,60.47222222222222,183.42708333333334,157.85416666666666,183.42708333333334,157.85416666666666,5876,6.533244385145652,15,83,0,0,0,0,0,41.41594290909091,2.162710590909091,3.273352081819166,5.236099818421536,5.660518731032958,0,0,0,3,Cluster 4
2,can peguera,2230,2262,2275,2258,2271,9.6,11.52,12.62,13.0,12.96,16.02,15.9,18.12,10.58,17.52,14.92,11.16,10.3,9.5,11.36,11.78,7.7,2.2,1.3,12.389583333333333,11.14375,4.0,4,0,0.0,0.0,0.1715616673821986,0.0,0.0,72.56666666666666,14.75,51.65625,50.114583333333336,51.65625,50.114583333333336,1745,7.683839718185821,8,88,0,0,0,0,0,41.43508825,2.1669495,5.347110946698359,7.019989754861713,7.815616867433792,0,0,0,3,Cluster 4
3,canyelles,7102,6981,6953,6923,6856,29.28,28.82,31.56,36.2,40.66,45.34,48.46,51.38,26.26,44.28,58.6,59.08,52.72,41.3,32.14,26.76,13.82,4.66,2.7,37.766666666666666,34.764583333333334,27.0,16,8,33.33333333333333,0.0708261357812542,0.4007244020074635,0.4148987868253231,0.0,287.18333333333334,57.22222222222222,204.41666666666666,197.47916666666666,204.41666666666666,197.47916666666666,6980,10.180863477246207,34,8,0,0,0,0,0,41.44294714814815,2.1660387407407407,6.222724848064951,7.681251498705484,8.662895483080174,0,0,0,3,Cluster 4
4,ciutat meridiana,10485,10171,10245,10041,10342,51.22,52.72,62.0,65.94,80.88,95.04,88.24,77.36,57.72,62.34,46.98,43.82,52.2,50.1,38.92,27.34,11.72,3.7,4.1,53.7875,53.05416666666667,47.0,29,17,36.95652173913043,0.0,0.36333293795322624,0.3987152205358723,0.0,582.6333333333333,100.05555555555556,370.3229166666667,433.0104166666667,370.3229166666667,433.0104166666667,13648,13.196673757493716,11,8,0,0,0,0,0,41.46165773076923,2.175352769230769,8.302967258617514,9.854023847378379,10.846239151470478,0,0,0,1,Cluster 2
5,Diagonal Mar i el Front Marítim del Poblenou,12894,13156,13369,13397,13629,68.84,44.14,37.12,55.82,115.42,150.78,158.62,116.26,91.4,83.26,60.42,52.2,55.24,50.06,36.4,29.36,15.74,6.66,10.9,70.70208333333333,67.725,44.0,29,10,25.64102564102564,0.08917652798017177,0.5967321063017782,0.42725379553254855,0.44798183817050663,417.23333333333335,85.625,288.4270833333333,297.3333333333333,288.4270833333333,297.3333333333333,9991,7.330691906963094,146,38,0,0,0,0,0,41.40754472727273,2.2122076363636363,4.194682433471854,8.496794298526849,6.971756290405774,1,0,0,1,Cluster 2
6,Horta,26543,26554,26467,26541,26715,108.92,103.76,121.96,145.66,168.88,202.28,212.94,200.9,110.68,190.7,161.66,150.32,165.46,146.24,132.48,117.32,71.44,31.38,45.3,146.51875,130.18958333333333,77.0,57,14,19.718309859154928,0.5581804971336013,0.7536400417755883,0.7870896370995011,0.0,903.8583333333333,186.51388888888889,650.9583333333334,618.75,650.9583333333334,618.75,21637,8.099195208684261,148,47,0,0,0,0,0,41.43399788311688,2.1580273246753245,5.316430488792463,6.482842833379808,7.5932911233144536,1,0,0,2,Cluster 3
7,Hostafrancs,15960,15666,15747,15889,15904,51.54,54.56,75.78,126.7,157.92,149.02,129.54,111.06,57.04,104.12,105.98,93.6,83.32,63.32,51.3,50.88,35.36,13.76,21.9,85.84583333333333,79.08333333333333,35.0,17,9,34.61538461538461,0.29522501099044757,0.37586613660837453,0.37945951354123714,0.9180766573771671,450.5833333333333,115.80555555555556,346.8020833333333,303.28125,346.8020833333333,303.28125,11312,7.112676056338029,125,2,0,0,0,0,0,41.37532285714286,2.1454676285714287,2.4359482990779804,2.7927021002437944,1.1075928425453618,1,2,1,1,Cluster 2
8,montbau,5111,5047,5046,5053,5102,19.3,21.14,17.64,23.94,28.2,34.52,38.74,44.66,21.14,38.04,22.64,17.88,18.08,24.6,36.7,39.68,26.1,12.82,18.5,29.310416666666665,23.520833333333332,23.0,13,5,27.77777777777778,0.731095741752122,0.4862046558984487,0.5933413478163374,0.0,141.15,30.708333333333332,101.55208333333333,97.91666666666667,101.55208333333333,97.91666666666667,3451,6.764014112112897,51,0,0,0,0,0,0,41.42994447826087,2.1436081739130435,5.259163216769877,5.490185925670145,7.1311126293113745,0,0,0,3,Cluster 4
9,navas,21811,21741,21966,22080,22129,88.02,88.12,101.54,129.44,151.84,174.88,166.4,163.6,84.76,158.78,144.72,132.52,140.3,112.14,97.12,88.74,56.66,23.62,30.9,122.1375,106.46041666666666,20.0,12,4,25.0,0.2763763397039383,0.47942208131451824,0.49675505236173284,0.0,625.225,150.90277777777777,486.75,407.9583333333333,486.75,407.9583333333333,15208,6.872429843192192,64,0,0,0,0,0,0,41.41770265,2.18572845,3.6510312443730135,6.918443242832102,6.488873670332175,0,0,0,2,Cluster 3
10,Pedralbes,11790,11652,11713,11862,12076,70.06,66.28,60.34,64.3,63.96,72.38,87.2,79.72,63.84,76.86,70.16,71.92,72.34,62.64,50.98,49.72,32.7,14.36,22.0,65.52916666666667,57.58125,80.0,64,11,14.666666666666666,0.8183225021227993,0.8300683121775896,1.0130518771090944,0.0,135.15833333333333,32.34722222222222,109.75,83.45833333333333,109.75,83.45833333333333,3261,2.7003974826101356,98,0,0,0,0,0,0,41.3886999,2.1133804874999997,4.749190201325303,0.3805385012232615,3.962982011840375,0,0,0,1,Cluster 2
11,Porta,24193,24224,24240,24519,25000,91.68,90.44,102.92,130.56,169.1,212.64,207.14,180.98,100.6,164.94,133.68,125.54,148.44,134.6,133.32,121.66,64.5,24.22,26.5,135.38958333333332,119.14375,27.0,22,4,15.384615384615385,0.0,0.5375895126184197,0.6855065739815552,0.0,819.4666666666667,166.68055555555554,588.03125,561.3125,588.03125,561.3125,19684,7.8736,181,0,0,0,0,0,0,41.43458274074074,2.1781888518518517,5.327327714528822,7.597594604012594,7.9874119620984425,0,0,0,2,Cluster 3
12,Provençals del Poblenou,20052,20096,20161,20369,20487,80.34,84.38,100.92,122.06,156.9,189.56,171.08,159.24,97.12,161.14,131.0,108.08,95.06,73.04,69.28,66.64,38.08,14.16,15.6,109.01666666666667,101.74375,44.0,23,16,41.02564102564102,0.0,0.6299753454645876,0.6102967059830946,0.7741220427077957,637.7083333333334,138.875,473.0104166666667,428.28125,473.0104166666667,428.28125,15556,7.593107824474057,197,0,0,0,0,0,0,41.41049945454545,2.2014996136363636,3.701061432372523,7.7550205581749445,6.572953456116721,0,0,0,1,Cluster 2
13,sant andreu,56476,56269,56503,56683,57183,237.36,222.3,239.52,306.86,395.42,492.42,482.5,414.24,260.72,393.38,396.7,370.18,354.82,258.64,210.42,187.0,118.08,50.84,69.1,311.4458333333333,278.375,92.0,48,25,34.24657534246575,0.8845540008094285,0.8577453197291612,0.8585343894416635,0.682506420667342,1796.825,422.97222222222223,1391.7916666666667,1171.46875,1391.7916666666667,1171.46875,43324,7.576377594739695,233,0,300,323,446,486,2906,41.43698118478261,2.189583130434783,5.784469558571116,8.466689838075878,8.565040285513783,0,0,0,0,Cluster 1
14,Sant Antoni,38260,38096,38033,38184,38345,124.48,131.4,173.14,268.94,351.46,348.94,295.34,280.46,128.14,259.34,232.72,209.26,198.02,174.66,161.66,156.66,113.84,51.82,76.4,210.34583333333333,187.4,75.0,39,14,26.41509433962264,0.7586638308818879,0.5787650795352779,0.735138507902477,0.5130747999290058,1015.1583333333333,252.44444444444446,743.9479166666666,714.3333333333334,743.9479166666666,714.3333333333334,25305,6.599295866475421,52,0,0,0,0,0,0,41.37891058666667,2.1594229733333337,1.2679583132151537,3.7929057756573807,1.6522027673064774,1,6,0,0,Cluster 1
15,sant genís dels agudells,6935,6884,6754,6725,6854,28.72,27.8,30.16,35.98,44.34,47.96,52.56,54.26,26.58,47.04,37.1,35.9,36.84,37.74,46.24,39.38,20.6,6.4,11.4,37.77291666666667,33.37708333333333,36.0,34,1,2.857142857142857,0.0,0.5281607368785083,0.0,0.0,195.04166666666666,42.44444444444444,140.36458333333334,135.27083333333334,140.36458333333334,135.27083333333334,4767,6.9550627370878315,385,0,0,0,0,0,0,41.42673663888889,2.135154,5.293501147668221,4.884588862155097,6.866417009414822,0,0,0,3,Cluster 4
16,Sant Gervasi - Galvany,46486,46466,46708,47089,47666,249.04,245.24,253.4,267.36,279.84,313.2,337.24,346.6,235.48,335.9,295.16,254.1,250.12,223.4,189.2,184.54,131.84,67.1,110.6,268.24791666666664,220.11666666666667,94.0,41,33,44.5945945945946,0.6283300975797516,0.7848837478655393,0.7656433692649416,0.6283300975797517,690.05,143.125,532.3229166666666,437.5833333333333,532.3229166666666,437.5833333333333,16219,3.4026350018881386,209,0,0,0,0,0,0,41.39829793617021,2.1429966808510637,2.592009291078699,2.745825601896368,3.64250653773063,0,3,0,0,Cluster 1
17,Sant Gervasi - la Bonanova,24607,24926,25246,25665,25774,141.02,133.36,143.14,139.16,141.58,166.64,194.66,176.68,138.98,171.14,156.38,136.98,137.5,118.1,100.56,92.4,68.34,34.98,57.1,142.675,120.27916666666667,95.0,69,14,16.867469879518072,0.0,0.7955109366389349,0.581624947884039,0.3802227632904271,363.675,77.125,288.53125,223.90625,288.53125,223.90625,8753,3.3960580429890586,80,0,0,0,0,0,0,41.409488252631576,2.132669042105263,4.005500999163383,3.051782919128624,5.04853554091651,0,3,2,2,Cluster 3
18,sant martí de provençals,25994,25917,25975,26010,26146,103.96,100.52,110.64,134.78,168.4,203.3,210.54,198.82,107.14,176.26,161.84,144.48,156.32,154.28,133.46,122.94,75.5,27.14,30.5,143.70416666666668,127.21666666666667,29.0,14,9,39.130434782608695,0.40705188027436645,0.504326795666253,0.42281260447320235,0.0,886.2083333333334,198.30555555555554,663.7083333333334,592.78125,663.7083333333334,592.78125,21819,8.345062342232081,134,0,0,0,0,0,0,41.416218827586206,2.198232931034483,4.007113167223437,7.75815902233544,6.900041615445846,0,0,0,2,Cluster 3
19,"Sant Pere, Santa Caterina i la Ribera",22769,22358,22457,22306,22721,61.28,75.36,116.4,239.44,296.3,263.42,206.64,163.98,74.26,134.26,108.76,87.16,79.88,69.26,60.24,62.14,44.36,18.94,31.7,117.69583333333334,116.91041666666666,44.0,26,12,31.57894736842105,0.6226497894608217,0.5189649042712559,0.6807692118844321,0.0,834.7,233.41666666666666,577.875,640.5625,577.875,640.5625,22002,9.683552660534307,177,0,0,0,0,0,0,41.386466431818185,2.181001,0.9122950722429475,5.527851701617622,3.466026498742122,3,10,2,2,Cluster 3
20,Sants,41057,40854,40687,40785,41127,144.82,147.3,189.22,292.2,368.36,365.0,321.38,294.84,150.3,283.66,263.96,228.74,215.34,179.02,157.6,160.0,106.72,44.58,53.6,224.74166666666667,201.32083333333333,92.0,46,21,31.343283582089555,0.6466426174915452,0.7347700842729775,0.769170335674708,0.0,1096.4166666666667,284.8611111111111,853.3958333333334,730.7708333333334,853.3958333333334,730.7708333333334,27193,6.611958081065966,71,0,0,0,0,0,0,41.3768825,2.136825289473684,3.0030110722760908,2.065687246445412,1.6338792931921904,0,0,0,0,Cluster 1
