Unnamed: 0,Code,Transport,Longitude,Latitude,Station,District.Name,Neighborhood.Name
0,K001,Underground,2.11937,41.399203,FGC (L6) - REINA ELISENDA (Sortida Duquesa d'Orleans)-,Sarrià-Sant Gervasi,Sarrià
1,K001,Underground,2.135427,41.397791,FGC (L6) - LA BONANOVA-,Sarrià-Sant Gervasi,Sant Gervasi - Galvany
2,K001,Underground,2.185391,41.451492,METRO (L11) - CASA DE L'AIGUA (C. Vila-Real)-,Nou Barris,la Trinitat Nova
3,K001,Underground,2.174473,41.460889,METRO (L11) - CIUTAT MERIDIANA (C. Pedraforca)-,Nou Barris,Ciutat Meridiana
4,K001,Underground,2.168588,41.3872,METRO (L1) - CATALUNYA (Rda. Universitat)-,Eixample,la Dreta de l'Eixample
5,K001,Underground,2.168507,41.387706,METRO (L1) - CATALUNYA (Rambla de Catalunya)-,Eixample,la Dreta de l'Eixample
6,K001,Underground,2.118998,41.398967,FGC (L6) - REINA ELISENDA-,Sarrià-Sant Gervasi,Sarrià
7,K001,Underground,2.083994,41.362753,METRO (L5) - SANT ILDEFONS-,Ciutat Vella,Sant Ildefons
8,K001,Underground,2.142987,41.424923,"METRO (L3, L5) - VALL D'HEBRON (C. de les Basses d'Horta)-",Horta-Guinardó,la Vall d'Hebron
9,K002,Railway (FGC),2.158326,41.392331,FGC - PROVENÇA (C. de Provença)-,Eixample,l'Antiga Esquerra de l'Eixample
10,K001,Underground,2.100302,41.362977,METRO (L1) - RAMBLA JUST OLIVERAS-,Ciutat Vella,la Maternitat i Sant Ramon
11,K001,Underground,2.179581,41.40018,METRO (L2) - MONUMENTAL (C. de la Marina)-,Eixample,el Fort Pienc
12,K001,Underground,2.153966,41.37907,METRO (L1) - ROCAFORT (C. de Rocafort)-,Eixample,la Nova Esquerra de l'Eixample
13,K001,Underground,2.168735,41.389295,METRO (L2) - PASSEIG DE GRÀCIA (Pg. de Gràcia)-,Eixample,la Dreta de l'Eixample
14,K001,Underground,2.161228,41.430042,METRO (L5) - HORTA (Pl. d'Eivissa)-,Horta-Guinardó,Horta
15,K011,Tram,2.098896,41.376486,"TRAMVIA (T1,T2,T3) - CA N'OLIVERES-",Sarrià-Sant Gervasi,Ca n'Oliveres
16,K001,Underground,2.13319,41.373293,METRO (L1) - MERCAT NOU (C. d'Antoni de Capmany)-,Sants-Montjuïc,Sants
17,K001,Underground,2.145478,41.378565,METRO (L3) - TARRAGONA-,Eixample,la Nova Esquerra de l'Eixample
18,K001,Underground,2.147798,41.434855,METRO (L3) - MUNDET (Can Marcet)-,Horta-Guinardó,la Vall d'Hebron
