Code,Transport,Longitude,Latitude,Station,District.Name,Neighborhood.Name
K001,Underground,2.083994,41.362753,METRO (L5) - SANT ILDEFONS-,,
K001,Underground,2.100302,41.362977,METRO (L1) - RAMBLA JUST OLIVERAS-,,
K011,Tram,2.098896,41.376486,"TRAMVIA (T1,T2,T3) - CA N'OLIVERES-",,
K011,Tram,2.106023,41.376071,"TRAMVIA (T1,T2,T3) - CAN RIGAL-",,
K011,Tram,2.222916,41.430456,TRAMVIA (T5) - ENCANTS DE SANT ADRIÀ-,,
K011,Tram,2.230412,41.423854,"TRAMVIA (T4, T6) - ESTACIÓ DE SANT ADRIÀ-",,
K011,Tram,2.062227,41.360383,"TRAMVIA (T1,T2) - FONTSANTA-FATJÓ-",,
K008,Maritime station,2.182868,41.370929,Estació Marítima INTERNACIONAL-,,
K001,Underground,2.125369,41.357005,FGC (L8) - EUROPA / FIRA-,,
K003,RENFE,2.181768,41.496321,RENFE - MONTCADA-RIPOLLET-,,
K003,RENFE,2.09108,41.331201,RENFE - EL PRAT DE LLOBREGAT-,,
K011,Tram,2.076889,41.365513,"TRAMVIA (T1,T2) - EL PEDRÒ-",,
K001,Underground,2.106775,41.373558,METRO (L5) - PUBILLA CASES-,,
K001,Underground,2.072672,41.356107,METRO (L5) - CORNELLÀ CENTRE-,,
K001,Underground,2.224024,41.442346,METRO (L10) - LA SALUT-,,
K011,Tram,2.075814,41.372339,TRAMVIA (T3) - SANT MARTÍ DE L'ERM-,,
K001,Underground,2.207988,41.451908,METRO (L1) - SANTA COLOMA-,,
K001,Underground,2.217787,41.451728,METRO (L1) - FONDO-,,
K001,Underground,2.110686,41.351236,METRO (L1) - BELLVITGE-,,
K002,Railway (FGC),2.073187,41.444795,FGC - LA FLORESTA-,,
K011,Tram,2.075217,41.378842,TRAMVIA (T3) - RAMBLA DE SANT JUST-,,
K011,Tram,2.22618,41.418903,"TRAMVIA (T4, T6) - PORT FÒRUM-",,
K001,Underground,2.228147,41.435342,METRO (L2) - SANT ROC-,,
K011,Tram,2.084309,41.373477,"TRAMVIA (T1,T2,T3) - LA SARDANA-",,
K001,Underground,2.129976,41.369557,METRO (L1) - SANTA EULÀLIA-,,
K001,Underground,2.215908,41.446684,METRO (L9) - SANTA ROSA-,,
K008,Maritime station,2.178562,41.359077,Estació Marítima B-,,
K001,Underground,2.120049,41.375998,METRO (L5) - COLLBLANC-,,
K003,RENFE,2.021024,41.410017,RENFE - MOLINS DE REI-,,
K003,RENFE,2.249093,41.445856,RENFE - BADALONA-,,
K003,RENFE,2.167379,41.481319,RENFE - MONTCADA I REIXAC-STA. MARIA-,,
K001,Underground,2.090782,41.366055,METRO (L5) - CAN BOIXERES-,,
K001,Underground,2.217371,41.433504,METRO (L2) - ARTIGUES-SANT ADRIÀ-,,
K011,Tram,2.217564,41.41938,"TRAMVIA (T5, T6) - PARC DEL BESÓS-",,
K001,Underground,2.102669,41.357404,METRO (L1) - AVINGUDA CARRILET-,,
K001,Underground,2.103659,41.368289,METRO (L1) - CAN SERRA-,,
K001,Underground,2.078917,41.357389,METRO (L5) - GAVARRA-,,
K002,Railway (FGC),2.00528,41.398991,FGC - CAN ROS-,,
K002,Railway (FGC),2.031499,41.363609,FGC - COLÒNIA GÜELL-,,
K011,Tram,2.05321,41.379349,Tramvia (T3) - SANT FELIU/CONSELL COMARCAL-,,
K001,Underground,2.23821,41.444591,METRO (L2) - PEP VENTURA-,,
K011,Tram,2.087563,41.376495,"TRAMVIA (T1,T2,T3) - PONT D'ESPLUGUES-",,
K011,Tram,2.066109,41.356699,"TRAMVIA (T1,T2) - LES AIGÜES-",,
K001,Underground,2.209904,41.430056,METRO (L2) - VERNEDA-,,
K001,Underground,2.034689,41.357711,FGC (L8) - MOLÍ NOU-CIUTAT COOPERATIVA-,,
K001,Underground,2.043259,41.348145,FGC (L8) - SANT BOI-,,
K011,Tram,2.058263,41.363968,"TRAMVIA (T1,T2) - BON VIATGE-",,
K011,Tram,2.062535,41.36756,TRAMVIA (T2) - LA FONTSANTA-,,
K001,Underground,2.117531,41.35536,FGC (L8) - GORNAL-,,
K003,RENFE,2.147997,41.492347,RENFE - CERDANYOLA DEL VALLÈS-,,
K002,Railway (FGC),2.130463,41.361391,FGC - ILDEFONS CERDÀ-,,
K011,Tram,2.22531,41.427474,TRAMVIA (T5) - SANT JOAN BAPTISTA-,,
K001,Underground,2.171017,41.462556,METRO (L11) - CAN CUIÀS (C. Circumval·lació - Montcada)-,,
K001,Underground,2.110681,41.368521,METRO (L1) - FLORIDA-,,
K001,Underground,2.210131,41.444246,METRO (L9) - CAN PEIXAUET-,,
K008,Maritime station,2.183611,41.374828,Terminal Marítima Maremàgnum-,,
K008,Maritime station,2.178681,41.37385,Estació Marítima DRASSANES-,,
K004,Airport train,2.115466,41.354367,Tren AEROPORT - BELLVITGE-,,
K003,RENFE,2.060314,41.368661,RENFE - ST. JOAN DESPÍ-,,
K003,RENFE,2.185163,41.484284,RENFE - MONTCADA I REIXAC-MANRESA-,,
K001,Underground,2.234241,41.440358,METRO (L10) - GORG-,,
